product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
COX CK480 교체축 게이밍 기계식 그레이&핑크,COX,18240,https://img.danuri.io/catalog-image/530/113/091/cf2406bc95e04cee95ff0546b8999345.jpg?shrink=130:130&_v=20260617080551,기계식,유선,텐키리스,45g,500,유선,한/영 정각,RGB 백라이트,갈축,,,91113524,,https://prod.danawa.com/info/?pcode=91113524&cate=112782,True
COX CK480 교체축 게이밍 기계식 그레이&핑크,COX,24400,https://img.danuri.io/catalog-image/530/113/091/cf2406bc95e04cee95ff0546b8999345.jpg?shrink=130:130&_v=20260617080551,기계식,유선,텐키리스,45g,500,유선,한/영 정각,RGB 백라이트,적축,,,91113530,,https://prod.danawa.com/info/?pcode=91113530&cate=112782,True
COX CK480 교체축 게이밍 기계식 그레이&핑크,COX,27900,https://img.danuri.io/catalog-image/530/113/091/cf2406bc95e04cee95ff0546b8999345.jpg?shrink=130:130&_v=20260617080551,기계식,유선,텐키리스,45g,500,유선,한/영 정각,RGB 백라이트,청축,,,91113536,,https://prod.danawa.com/info/?pcode=91113536&cate=112782,True
앱코 AK87 3모드 OTEMU 특주축 유무선 기계식 다크 그라데이션,앱코,75000,https://img.danuri.io/catalog-image/659/826/074/7ff9430112d84fc1b6e30f339ae87467.jpg?shrink=130:130&_v=20260617160312,기계식,유선+무선,텐키리스,40g,1024,"전용동글(리시버), 블루투스",정보없음,RGB 백라이트,저소음 피치축,,,74826659,,https://prod.danawa.com/info/?pcode=74826659&cate=112782,True
앱코 AK87 3모드 OTEMU 특주축 유무선 기계식 다크 그라데이션,앱코,55000,https://img.danuri.io/catalog-image/659/826/074/7ff9430112d84fc1b6e30f339ae87467.jpg?shrink=130:130&_v=20260617160312,기계식,유선+무선,텐키리스,40g,1024,"전용동글(리시버), 블루투스",정보없음,RGB 백라이트,멜론축,,,74828639,,https://prod.danawa.com/info/?pcode=74828639&cate=112782,True
COX CK580 교체축 게이밍 기계식 화이트,COX,28900,https://img.danuri.io/catalog-image/374/113/091/6609f6d27d114c16a575b017657c20b8.jpg?shrink=130:130&_v=20260617080552,기계식,유선,풀배열,45g,500,유선,한/영 정각,RGB 백라이트,갈축,,,91113371,,https://prod.danawa.com/info/?pcode=91113371&cate=112782,True
COX CK580 교체축 게이밍 기계식 화이트,COX,28900,https://img.danuri.io/catalog-image/374/113/091/6609f6d27d114c16a575b017657c20b8.jpg?shrink=130:130&_v=20260617080552,기계식,유선,풀배열,45g,500,유선,한/영 정각,RGB 백라이트,적축,,,91113374,,https://prod.danawa.com/info/?pcode=91113374&cate=112782,True
COX CK580 교체축 게이밍 기계식 화이트,COX,26230,https://img.danuri.io/catalog-image/374/113/091/6609f6d27d114c16a575b017657c20b8.jpg?shrink=130:130&_v=20260617080552,기계식,유선,풀배열,45g,500,유선,한/영 정각,RGB 백라이트,청축,,,91113383,,https://prod.danawa.com/info/?pcode=91113383&cate=112782,True
마이크로닉스 WARP WK-1 마닉축 RGB 게이밍 기계식 키보드 화이트,마이크로닉스,84000,https://img.danuri.io/catalog-image/373/761/014/219e8bd8166e48eeb120b5f6edd9b655.jpg?shrink=130:130&_v=20260617080501,기계식,유선,풀배열,50g,1135,유선,레이저각인 키캡,레인보우 백라이트,적축,,독자 규격,14761394,,https://prod.danawa.com/info/?pcode=14761394&cate=112782,True
마이크로닉스 WARP WK-1 마닉축 RGB 게이밍 기계식 키보드 화이트,마이크로닉스,45900,https://img.danuri.io/catalog-image/373/761/014/219e8bd8166e48eeb120b5f6edd9b655.jpg?shrink=130:130&_v=20260617080501,기계식,유선,풀배열,50g,1135,유선,레이저각인 키캡,레인보우 백라이트,갈축,,독자 규격,14761373,,https://prod.danawa.com/info/?pcode=14761373&cate=112782,True
마이크로닉스 WARP WK-1 마닉축 RGB 게이밍 기계식 키보드 화이트,마이크로닉스,59900,https://img.danuri.io/catalog-image/373/761/014/219e8bd8166e48eeb120b5f6edd9b655.jpg?shrink=130:130&_v=20260617080501,기계식,유선,풀배열,50g,1135,유선,레이저각인 키캡,레인보우 백라이트,청축,,독자 규격,14761253,,https://prod.danawa.com/info/?pcode=14761253&cate=112782,True
앱코 K660S V2 카일 광축 V2 게이밍 블랙,앱코,66000,https://img.danuri.io/catalog-image/689/990/075/ac910d420aca49cba8db8e9de1148ff9.jpg?shrink=130:130&_v=20260617092931,무접점 광축,유선,풀배열,40g,1240,유선,한/영 정각,레인보우 백라이트,,,카일,75990689,,https://prod.danawa.com/info/?pcode=75990689&cate=112782,True
COX CFL87+21 옴니키(원솔루션) 3모드 유무선 기계식,COX,55000,https://img.danuri.io/catalog-image/255/969/092/6afb9b6744c94f6787db7641bd1aaba1.jpg?shrink=130:130&_v=20260617080439,기계식,유선+무선,텐키리스,45g,944,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,,,,92969255,,https://prod.danawa.com/info/?pcode=92969255&cate=112782,True
마이크로닉스 워프 WK4 마닉축 RGB 텐키리스 게이밍 기계식 키보드,마이크로닉스,29500,https://img.danuri.io/catalog-image/209/335/016/c379dcfd1eba4fb5be7a1ac37cdf3272.jpg?shrink=130:130&_v=20260617080443,기계식,유선,텐키리스,60g,944,유선,레이저각인 키캡,RGB 백라이트,적축,,독자 규격,16335257,,https://prod.danawa.com/info/?pcode=16335257&cate=112782,True
마이크로닉스 워프 WK4 마닉축 RGB 텐키리스 게이밍 기계식 키보드,마이크로닉스,29900,https://img.danuri.io/catalog-image/209/335/016/c379dcfd1eba4fb5be7a1ac37cdf3272.jpg?shrink=130:130&_v=20260617080443,기계식,유선,텐키리스,60g,944,유선,레이저각인 키캡,RGB 백라이트,갈축,,독자 규격,16335239,,https://prod.danawa.com/info/?pcode=16335239&cate=112782,True
마이크로닉스 워프 WK4 마닉축 RGB 텐키리스 게이밍 기계식 키보드,마이크로닉스,29900,https://img.danuri.io/catalog-image/209/335/016/c379dcfd1eba4fb5be7a1ac37cdf3272.jpg?shrink=130:130&_v=20260617080443,기계식,유선,텐키리스,60g,944,유선,레이저각인 키캡,RGB 백라이트,청축,,독자 규격,16335209,,https://prod.danawa.com/info/?pcode=16335209&cate=112782,True
